date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:54	132749/132749	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2022:20:31%20GMT	https://tintinki.com/	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/index.html	(from )
18:12:54	82/82	---MCZ	200	added ('OK')	text/plain	etag:W/%22d01917795cc3346e12b02a7aec813364%22	https://tintinki.com/robots.txt		(from )
18:12:54	305254/305254	---MCZ	200	added ('OK')	text/css	etag:W/%22ce246b617484bf158f031b843d7f8fb7%22	https://tintinki.com/_astro-1763590817332/_slug_.OdI3wkKq.css	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/_astro-1763590817332/_slug_.OdI3wkKq.css	(from https://tintinki.com/)
18:12:55	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e7308e-1b7c%22	https://tintinki.com/t	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/t	(from https://tintinki.com/)
18:12:55	64348/64348	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Sep%202025%2022:29:26%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,fit=crop,q=95/Awv8M0zlzjFkwxpq/tintinka-logo-mnl4qo5388H1lKVX.png	C:/My%20Web%20Sites/MiSitioHostinger/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,fit=crop,q=95/Awv8M0zlzjFkwxpq/tintinka-logo-mnl4qo5388H1lKVX.png	(from https://tintinki.com/)
18:12:55	173115/173115	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2022:20:31%20GMT	https://tintinki.com/productos	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/productos.html	(from https://tintinki.com/)
18:12:56	209789/209789	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2022:20:31%20GMT	https://tintinki.com/recetas	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/recetas.html	(from https://tintinki.com/)
18:12:56	75594/75594	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2022:20:31%20GMT	https://tintinki.com/nosotros	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/nosotros.html	(from https://tintinki.com/)
18:12:56	87926/87926	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202025%2022:20:31%20GMT	https://tintinki.com/contacto	C:/My%20Web%20Sites/MiSitioHostinger/tintinki.com/contacto.html	(from https://tintinki.com/)
18:12:56	569777/569777	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Sep%202025%2023:52:14%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/Awv8M0zlzjFkwxpq/imagen-2-YKb8EenXp8iveWGj.jpg	C:/My%20Web%20Sites/MiSitioHostinger/assets.zyrosite.com/cdn-cgi/image/format=auto,w=1920,fit=crop/Awv8M0zlzjFkwxpq/imagen-2-YKb8EenXp8iveWGj.jpg	(from https://tintinki.com/)
18:12:57	53624/53624	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Nov%202025%2019:09:46%20GMT	https://assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=513,fit=crop/Awv8M0zlzjFkwxpq/chatgpt-image-14-nov-2025-01_09_33-p.m.-IBCfAcEkvnPUHCSp.png	C:/My%20Web%20Sites/MiSitioHostinger/assets.zyrosite.com/cdn-cgi/image/format=auto,w=768,h=513,fit=crop/Awv8M0zlzjFkwxpq/chatgpt-image-14-nov-2025-01_09_33-p.m.-IBCfAcEkvnPUHCSp.jpg	(from https://tintinki.com/)
